week,alerts,above_ground_carbon_loss,cumulative_emissions,2001_2013_average,2020_target,percent_to_emissions_target,area,cumulative_deforestation,2001_2013_average_deforestation,2020_target_deforestation,percent_to_deforestation_target
1,3626,1.41E-01,1.41E-01,82,41.04496782,0.3426608877,278.8563912,279.00,201629.00,100815.00,0.2766033391
2,66794,2.77E+00,2.911386992,82,41.04496782,7.093164271,5135.6111,5414.00,201629.00,100815.00,5.370720682
3,552,2.38E-02,2.935189139,82,41.04496782,7.151154684,42.3668332,5457.00,201629.00,100815.00,5.412745207
4,35882,1.46E+00,4.396556112,82,41.04496782,10.71155941,2758.180888,8215.00,201629.00,100815.00,8.148641058
5,42931,1.95E+00,6.345979187,82,41.04496782,15.46104072,3301.14796,11516.00,201629.00,100815.00,11.42311701
6,36899,1.65E+00,8.000390176,82,41.04496782,19.49176867,2837.642248,14354.00,201629.00,100815.00,14.23783221
7,64123,2.73E+00,10.73489237,82,41.04496782,26.15397926,4931.084314,19285.00,201629.00,100815.00,19.12907526
8,40157,1.80E+00,12.53117382,82,41.04496782,30.53035363,3085.169308,22370.00,201629.00,100815.00,22.18931759
9,13049,5.98E-01,13.12910498,82,41.04496782,31.98712456,1003.434291,23373.00,201629.00,100815.00,23.18464452
10,38859,1.78E+00,14.91001874,82,41.04496782,36.32605782,2987.884524,26361.00,201629.00,100815.00,26.14838809
11,43312,1.88E+00,16.79014332,82,41.04496782,40.90670358,3330.182992,29692.00,201629.00,100815.00,29.45166449
12,34475,1.49E+00,18.2774446,82,41.04496782,44.53029342,2651.098867,32343.00,201629.00,100815.00,32.0813435
13,59375,2.90E+00,21.1821045,82,41.04496782,51.60706812,4565.505823,36908.00,201629.00,100815.00,36.60996179
14,80837,3.618705255,24.80080976,82,41.04496782,60.42350884,6212.080988,43120.00,201629.00,100815.00,42.77185156
15,34440,1.46E+00,26.25751585,82,41.04496782,63.97255803,2649.001656,45769.00,201629.00,100815.00,45.39945031
16,61619,2.735063012,28.99257887,82,41.04496782,70.63613497,4737.411439,50507.00,201629.00,100815.00,50.09858529
17,122264,5.31E+00,34.30534482,82,41.04496782,83.5799043,9401.048718,59908.00,201629.00,100815.00,59.42367715
18,43046,1.87E+00,36.17353485,82,41.04496782,88.1314733,3309.240799,63217.00,201629.00,100815.00,62.70618056
19,47318,2.373243168,38.54677802,82,41.04496782,,3638.313805,66855.00,201629.00,100815.00,
20,40953,2.06E+00,40.60517044,82,41.04496782,,3145.563056,70001.00,201629.00,100815.00,
21,66408,3.012725468,43.61789591,82,41.04496782,,5106.036225,75107.00,201629.00,100815.00,
22,58943,2.62E+00,46.24052754,82,41.04496782,,4532.759535,79640.00,201629.00,100815.00,
23,13855,0.5157332705,46.75626081,82,41.04496782,,1065.488482,80705.00,201629.00,100815.00,
24,13210,6.36E-01,47.39268257,82,41.04496782,,1015.769179,81721.00,201629.00,100815.00,
25,49192,2.099864466,49.49254703,82,41.04496782,,3783.43121,85504.00,201629.00,100815.00,
26,8102,0.3359391301,49.82848616,82,41.04496782,,622.8767985,86127.00,201629.00,100815.00,
27,66971,3.054009908,52.88249607,82,41.04496782,,5149.558116,91277.00,201629.00,100815.00,
28,118565,5.256468378,58.13896445,82,41.04496782,,9119.231182,100396.00,201629.00,100815.00,
29,78933,3.890214636,62.02917909,82,41.04496782,,6067.679964,106464.00,201629.00,100815.00,
30,57796,2.52E+00,64.54965482,82,41.04496782,,4443.577874,110907.00,201629.00,100815.00,
31,34259,1.49E+00,66.03750997,82,41.04496782,,2634.211915,113541.00,201629.00,100815.00,
32,29899,1.426386541,67.46389651,82,41.04496782,,2299.514539,115841.00,201629.00,100815.00,
33,59494,2.7514654,70.21536191,82,41.04496782,,4573.374894,120414.00,201629.00,100815.00,
34,18867,0.8013772913,71.0167392,82,41.04496782,,1449.715796,121864.00,201629.00,100815.00,
35,23046,1.147971655,72.16471086,82,41.04496782,,1770.834768,123635.00,201629.00,100815.00,
36,24458,1.110265332,73.27497619,82,41.04496782,,1879.155489,125514.00,201629.00,100815.00,
37,24715,1.07E+00,74.34226905,82,41.04496782,,1898.754145,127413.00,201629.00,100815.00,
38,6421,0.296299461,74.63856851,82,41.04496782,,493.4401304,127906.00,201629.00,100815.00,
39,1854,0.0705794153,74.70914793,82,41.04496782,,142.3616252,128049.00,201629.00,100815.00,
40,2309,0.1077900376,74.81693796,82,41.04496782,,177.4749342,128226.00,201629.00,100815.00,
