week,alerts,above_ground_carbon_loss,cumulative_emissions,2001_2013_average,2020_target,percent_to_emissions_target,area,cumulative_deforestation,2001_2013_average_deforestation,2020_target_deforestation,percent_to_deforestation_target
15,449,2.52E-02,4.235724759,9.202262991,4.601131495,92.05832876,34.48337552,7154.232711,29188.32,14594.16,49.02119697
16,874,0.0510608021,4.286785561,9.202262991,4.601131495,93.16807323,67.17364341,7221.406355,29188.32,14594.16,49.48147448
17,3202,1.61E-01,4.447544419,9.202262991,4.601131495,96.66197159,246.0702776,7467.476632,29188.32,14594.16,51.16756159
18,6456,3.15E-01,4.762661192,9.202262991,4.601131495,103.5106516,496.4856289,7963.962261,29188.32,14594.16,54.56950849
19,531,0.0251504212,4.787811613,9.202262991,4.601131495,,40.8162712,8004.778532,29188.32,14594.16,
20,2128,1.25E-01,4.912639963,9.202262991,4.601131495,,163.5734334,8168.351966,29188.32,14594.16,
21,458,0.0251970832,4.937837046,9.202262991,4.601131495,,35.19088723,8203.542853,29188.32,14594.16,
22,11,3.15E-04,4.93815212,9.202262991,4.601131495,,0.8456115479,8204.388465,29188.32,14594.16,
23,1292,0.0609351558,4.999087276,9.202262991,4.601131495,,99.35183746,8303.740302,29188.32,14594.16,
24,582,3.26E-02,5.031648308,9.202262991,4.601131495,,44.74934017,8348.489642,29188.32,14594.16,
25,925,0.0349580318,5.06660634,9.202262991,4.601131495,,71.12690598,8419.616548,29188.32,14594.16,
26,227,0.0105730784,5.077179418,9.202262991,4.601131495,,17.44822723,8437.064775,29188.32,14594.16,
27,1737,0.0793024832,5.156481902,9.202262991,4.601131495,,133.5930598,8570.657835,29188.32,14594.16,
28,3296,0.1020435585,5.25852546,9.202262991,4.601131495,,253.4984331,8824.156268,29188.32,14594.16,
29,3630,0.146587813,5.405113273,9.202262991,4.601131495,,279.1427718,9103.29904,29188.32,14594.16,
30,1346,4.73E-02,5.452395954,9.202262991,4.601131495,,103.5350702,9206.83411,29188.32,14594.16,
31,255,1.02E-02,5.46260591,9.202262991,4.601131495,,19.6115962,9226.445707,29188.32,14594.16,
32,965,0.0295791146,5.492185025,9.202262991,4.601131495,,74.20146425,9300.647171,29188.32,14594.16,
33,12521,0.3970870694,5.889272094,9.202262991,4.601131495,,962.8727131,10263.51988,29188.32,14594.16,
34,748,0.0334357722,5.922707866,9.202262991,4.601131495,,57.53684254,10321.05673,29188.32,14594.16,
35,4435,0.144183763,6.066891629,9.202262991,4.601131495,,341.0568932,10662.11362,29188.32,14594.16,
36,7724,0.3268362095,6.393727839,9.202262991,4.601131495,,593.991816,11256.10544,29188.32,14594.16,
37,630,2.55E-02,6.419268246,9.202262991,4.601131495,,48.3992231,11304.50466,29188.32,14594.16,
38,14414,0.461457406,6.880725652,9.202262991,4.601131495,,1108.592835,12413.09749,29188.32,14594.16,
39,307,0.0154517104,6.896177362,9.202262991,4.601131495,,23.58953423,12436.68703,29188.32,14594.16,
40,36932,1.241573022,8.137750384,9.202262991,4.601131495,,2840.462173,15277.1492,29188.32,14594.16,
41,679,3.77E-02,8.175490848,9.202262991,4.601131495,,52.2064769,15329.35568,29188.32,14594.16,
42,433,0.0145351148,8.190025963,9.202262991,4.601131495,,33.30691829,15362.6626,29188.32,14594.16,
43,2922,0.0710337573,8.26105972,9.202262991,4.601131495,,224.5298683,15587.19246,29188.32,14594.16,
44,11477,0.4396779567,8.700737677,9.202262991,4.601131495,,882.7232237,16469.91569,29188.32,14594.16,
45,17,0.000540887,8.701278564,9.202262991,4.601131495,,1.30731601,16471.223,29188.32,14594.16,
46,970,0.0310068128,8.732285376,9.202262991,4.601131495,,74.55565478,16545.77866,29188.32,14594.16,
47,42,0.0012639235,8.7335493,9.202262991,4.601131495,,3.230811121,16549.00947,29188.32,14594.16,
48,2740,0.0875975475,8.821146848,9.202262991,4.601131495,,210.5305129,16759.53998,29188.32,14594.16,
49,2134,0.1174989378,8.938645785,9.202262991,4.601131495,,164.0694914,16923.60947,29188.32,14594.16,
50,552,2.99E-02,8.968591552,9.202262991,4.601131495,,42.43591028,16966.04538,29188.32,14594.16,
51,60,3.25E-03,8.971842135,9.202262991,4.601131495,,4.610241077,16970.65563,29188.32,14594.16,
52,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
