week,alerts,above_ground_carbon_loss,cumulative_emissions,2001_2013_average,2020_target,percent_to_emissions_target,area,cumulative_deforestation,2001_2013_average_deforestation,2020_target_deforestation,percent_to_deforestation_target
1,,,,9.202262991,4.601131495,,,,29188.32,14594.16,
2,3108,1.76E-01,0.1761532671,9.202262991,4.601131495,3.828477131,238.9116214,238.9116214,29188.32,14594.16,1.637035601
3,10317,5.09E-01,0.6852067691,9.202262991,4.601131495,14.8921362,793.2134455,1032.125067,29188.32,14594.16,7.072177862
4,59,2.97E-03,0.6881774929,9.202262991,4.601131495,14.95670127,4.537480804,1036.662548,29188.32,14594.16,7.103268931
5,8953,4.32E-01,1.120161843,9.202262991,4.601131495,24.345356,688.0646605,1724.727208,29188.32,14594.16,11.81792592
6,2865,8.82E-02,1.208345461,9.202262991,4.601131495,26.26191974,220.2850635,1945.012272,29188.32,14594.16,13.32733132
7,19763,7.45E-01,1.953083248,9.202262991,4.601131495,42.44789026,1517.918147,3462.930418,29188.32,14594.16,23.72819015
8,13846,7.38E-01,2.690809464,9.202262991,4.601131495,58.4814728,1064.134375,4527.064793,29188.32,14594.16,31.01969755
9,104,3.12E-03,2.693925963,9.202262991,4.601131495,58.54920613,8.000244757,4535.065038,29188.32,14594.16,31.07451567
10,1474,3.77E-02,2.731594398,9.202262991,4.601131495,59.36788376,113.1851488,4648.250187,29188.32,14594.16,31.85006655
11,13215,6.42E-01,3.373569046,9.202262991,4.601131495,73.32042236,1015.849073,5664.09926,29188.32,14594.16,38.8107204
12,4398,1.92E-01,3.565730997,9.202262991,4.601131495,77.49682878,337.7867998,6001.886059,29188.32,14594.16,41.12525418
13,120,3.53E-03,3.569264666,9.202262991,4.601131495,77.57362878,9.224382422,6011.110442,29188.32,14594.16,41.18846016
14,14431,0.6412823634,4.210547029,9.202262991,4.601131495,91.51112142,1108.638894,7119.749336,29188.32,14594.16,48.78491498
