week,alerts,above_ground_carbon_loss,cumulative_emissions,2001_2013_average,2020_target,percent_to_emissions_target,area,cumulative_deforestation,2001_2013_average_deforestation,2020_target_deforestation,percent_to_deforestation_target
1,157328,4.36E+00,4.36E+00,428,214,1.019031161,11750.99138,11750.99138,1488427.00,744214.00,0.7894906083
2,145742,4.017805167,8.379258535,428,214,1.957770686,10777.80286,22528.79424,1488427.00,744214.00,1.513597525
3,69561,1.64E+00,10.02301532,428,214,2.341826009,5060.676332,27589.47057,1488427.00,744214.00,1.853599173
4,114391,2.68E+00,12.70334295,428,214,2.968070784,8401.801148,35991.27172,1488427.00,744214.00,2.418074364
5,271375,7.31E+00,20.01442672,428,214,4.676267926,20205.44571,56196.71742,1488427.00,744214.00,3.775577668
6,204234,6.37E+00,26.38641555,428,214,6.165050361,15158.1511,71354.86852,1488427.00,744214.00,4.793978376
7,138716,3.42E+00,29.80546826,428,214,6.963894453,10235.57121,81590.43973,1488427.00,744214.00,5.481655448
8,53156,1.37E+00,31.17758157,428,214,7.284481676,3931.129188,85521.56892,1488427.00,744214.00,5.745768447
9,135745,3.52E+00,34.70065467,428,214,8.107629596,9865.992447,95387.56137,1488427.00,744214.00,6.408615362
10,94355,2.62E+00,37.31651183,428,214,8.718811175,7041.277293,102428.8387,1488427.00,744214.00,6.881683728
11,131628,3.55E+00,40.86231098,428,214,9.54726892,9734.451325,112163.29,1488427.00,744214.00,7.53569305
12,39210,9.57E-01,41.81980259,428,214,9.770981913,2850.762017,115014.052,1488427.00,744214.00,7.727221557
13,162438,4.29E+00,46.11182421,428,214,10.7737907,12096.61502,127110.667,1488427.00,744214.00,8.539932897
14,249602,8.162467306,54.27429152,428,214,12.68090923,18790.92152,145901.5885,1488427.00,744214.00,9.802401364
15,143070,3.962914512,58.23720603,428,214,13.60682384,10545.08729,156446.6758,1488427.00,744214.00,10.51087328
16,153781,4.445249343,62.68245537,428,214,14.6454335,11420.22656,167866.9024,1488427.00,744214.00,11.27814145
17,151645,4.239425362,66.92188074,428,214,15.63595344,11230.61553,179097.5179,1488427.00,744214.00,12.03267059
18,175158,4.58E+00,71.50314536,428,214,16.70634237,12888.63333,191986.1513,1488427.00,744214.00,12.8985937
19,148707,3.711365246,75.2145106,428,214,17.57348379,10989.35815,202975.5094,1488427.00,744214.00,13.63691396
20,168181,4.57E+00,79.78322811,428,214,,12622.96495,215598.4744,1488427.00,744214.00,
21,258033,8.484911338,88.26813944,428,214,,19394.09624,234992.5706,1488427.00,744214.00,
22,161824,4.35E+00,92.6200738,428,214,,12132.47924,247125.0498,1488427.00,744214.00,
23,150577,4.45375019,97.07382399,428,214,,11196.00196,258321.0518,1488427.00,744214.00,
24,413794,13.16357828,110.2374023,428,214,,30643.18874,288964.2405,1488427.00,744214.00,
25,184487,5.802048892,116.0394512,428,214,,13894.40527,302858.6458,1488427.00,744214.00,
26,228024,7.630016753,123.6694679,428,214,,17105.71713,319964.3629,1488427.00,744214.00,
27,159418,5.777651317,129.4471192,428,214,,12023.94056,331988.3035,1488427.00,744214.00,
28,185024,5.832375667,135.2794949,428,214,,13992.70667,345981.0102,1488427.00,744214.00,
29,331448,11.19100495,146.4704998,428,214,,24861.41905,370842.4292,1488427.00,744214.00,
30,291190,10.30487897,156.7753788,428,214,,21795.05131,392637.4805,1488427.00,744214.00,
31,353863,12.79905666,169.5744355,428,214,,26517.77136,419155.2519,1488427.00,744214.00,
32,326895,11.18119511,180.7556306,428,214,,24529.45805,443684.7099,1488427.00,744214.00,
33,234048,7.210532626,187.9661632,428,214,,17413.13792,461097.8478,1488427.00,744214.00,
34,271669,9.476992253,197.4431555,428,214,,20447.74352,481545.5914,1488427.00,744214.00,
35,377773,11.86169383,209.3048493,428,214,,28197.26014,509742.8515,1488427.00,744214.00,
36,386606,14.72455849,224.0294078,428,214,,29183.25578,538926.1073,1488427.00,744214.00,
37,547832,21.54653191,245.5759397,428,214,,41351.45175,580277.559,1488427.00,744214.00,
38,597725,20.39726325,265.9732029,428,214,,44751.40115,625028.9602,1488427.00,744214.00,
39,361587,11.59022046,277.5634234,428,214,,26987.47858,652016.4388,1488427.00,744214.00,
40,526349,18.18421249,295.7476359,428,214,,39755.06084,691771.4996,1488427.00,744214.00,
41,568107,17.95282316,313.7004591,428,214,,42548.58644,734320.086,1488427.00,744214.00,
42,848426,25.6460955,339.3465546,428,214,,63988.46799,798308.554,1488427.00,744214.00,
43,491631,16.55656575,355.9031203,428,214,,37144.05673,835452.6108,1488427.00,744214.00,
44,267473,7.60107312,363.5041934,428,214,,20300.80337,855753.4141,1488427.00,744214.00,
45,368818,9.4729654,372.9771588,428,214,,27305.39541,883058.8095,1488427.00,744214.00,
46,1015296,30.63624829,403.6134071,428,214,,76854.90499,959913.7145,1488427.00,744214.00,
47,311595,10.07813591,413.691543,428,214,,23591.33256,983505.0471,1488427.00,744214.00,
48,397262,10.69625555,424.3877986,428,214,,29905.3188,1013410.366,1488427.00,744214.00,
49,670952,16.22460388,440.6124025,428,214,,50783.70301,1064194.069,1488427.00,744214.00,
50,584675,1.37E+01,454.2792183,428,214,,43614.56178,1107808.631,1488427.00,744214.00,
51,427834,1.08E+01,465.0419222,428,214,,31756.93608,1139565.567,1488427.00,744214.00,
52,315003,8.51E+00,473.553084,428,214,,23807.86471,1163373.431,1488427.00,744214.00,
